uri1,uri2
http://example.org/ContactPoint/5804a881-1d8c-4a3b-a261-479043a061c4,http://example.org/ContactPoint/c3e0b788-9bc4-46b2-849a-55b3f188f246
http://example.org/ContactPoint/ece6ce51-ceea-4c09-9b10-61e27efc5b0d,http://example.org/ContactPoint/b8cd6255-0dea-4428-8ec4-784a95bcf087
http://example.org/ContactPoint/b9bdee2d-d663-449d-955e-18b1fa83ada4,http://example.org/ContactPoint/7601e757-f27b-41fd-95ab-45f6e5fdc4d3
http://example.org/ContactPoint/fef06b04-68fc-442a-b6f2-59264e60678b,http://example.org/ContactPoint/92f53fff-2b54-4809-9f89-d99709a46091
http://example.org/ContactPoint/12b34a24-667f-4eeb-8889-832c37773772,http://example.org/ContactPoint/42b1807b-781f-4719-89e2-da26463d0986
http://example.org/ContactPoint/c5bf954d-0a9c-40c0-8129-7e8e34cf3d5d,http://example.org/ContactPoint/2e32cd68-d7e1-42af-b23b-7033ee60a6bb
http://example.org/ContactPoint/4cc57b45-ca6b-4cda-9282-58767dd1c306,http://example.org/ContactPoint/a6a45eeb-f954-45ce-b348-d0b708f52db5
http://example.org/ContactPoint/99e8c828-21da-432c-9c68-d4fd0bd7696f,http://example.org/ContactPoint/0c64d089-a36b-4465-b535-c92db254fa1f
http://example.org/ContactPoint/98ed2175-7eba-4a36-994a-5bfdcf3f0e62,http://example.org/ContactPoint/687805d2-d76c-4490-9127-91615dc0fdbd
http://example.org/ContactPoint/2b243c58-9743-4bc8-bba4-35db5c0d4feb,http://example.org/ContactPoint/e35603fd-f2c2-44a4-80fe-83252320a8c3
http://example.org/ContactPoint/c838435a-c5de-42ff-8577-c89bbbc173c7,http://example.org/ContactPoint/b09f2e27-dd07-4ebe-88dd-b935abe5df94
http://example.org/ContactPoint/e3eacc96-ae74-4428-8839-944dda76035f,http://example.org/ContactPoint/3f3a9c77-b5f9-4fad-a233-e0455d1ea55f
http://example.org/ContactPoint/9d1a45ce-abdc-4286-9d33-37cbfd61c6fc,http://example.org/ContactPoint/2f431351-b312-4c9b-af5e-b6c5c6839b01
http://example.org/ContactPoint/dd1d44e8-1d67-4e22-ad42-ec4ed1f4d64d,http://example.org/ContactPoint/4d28a9e8-f945-49e1-9e41-a0819a8776cb
http://example.org/ContactPoint/fe9a3c26-7dbe-48f5-8aee-b090601bb630,http://example.org/ContactPoint/a61180b5-f248-4b18-8799-bea8e6b65c3b
http://example.org/ContactPoint/ce1bb02a-cb4d-48d6-adb6-da351734a26c,http://example.org/ContactPoint/c0fb408f-ae1c-4c67-baf6-a2b47dc39ada
http://example.org/ContactPoint/9f7411e7-6400-434e-93fa-4235ccb93f91,http://example.org/ContactPoint/24b5ea94-9991-4fd5-89cd-ec2ad1beb832
http://example.org/ContactPoint/e93b4418-b170-41ed-9b04-0be38f41d3e4,http://example.org/ContactPoint/0f8ca34f-e49c-4389-854e-e13b23de05d3
http://example.org/ContactPoint/b5b52170-ec3b-4a45-be86-e65c18ce1760,http://example.org/ContactPoint/63065346-8e07-4f40-b945-8ec69ded03ff
http://example.org/ContactPoint/4ee79c5a-55fd-4bb8-91c0-ccb1d0ebc1e4,http://example.org/ContactPoint/0dd2ff70-870d-43e3-bbc1-1017b531b938
http://example.org/ContactPoint/a54e6c8f-ecb3-477a-acef-5e55840658d1,http://example.org/ContactPoint/0b654c53-325f-4611-8291-ed6075eb8fb3
http://example.org/ContactPoint/b235872f-f682-43bd-8174-dc65f9646b27,http://example.org/ContactPoint/6e02100e-bed0-4a7d-9002-3e1ee0fa4450
http://example.org/ContactPoint/7a9f3f59-c92c-463c-8309-28ae79dac846,http://example.org/ContactPoint/6e02100e-bed0-4a7d-9002-3e1ee0fa4450
http://example.org/ContactPoint/1cb2cb16-bd9f-4617-ae4a-5c81363ae3bc,http://example.org/ContactPoint/2d859487-0c4b-4105-a5a1-aed6cbc1a43c
http://example.org/ContactPoint/87fde43c-9c72-41e4-ac1a-c8a3ed51fa2b,http://example.org/ContactPoint/3803976d-1fb1-4620-8764-e67132cd7cab
http://example.org/ContactPoint/e93b4418-b170-41ed-9b04-0be38f41d3e4,http://example.org/ContactPoint/62e1a1c5-14a2-40da-af94-40da3595aa08
http://example.org/ContactPoint/689a0ced-3e14-44b1-9a00-cb0031f1f4f4,http://example.org/ContactPoint/922a473e-8a67-4c3e-b536-bc468dc81650
http://example.org/ContactPoint/81190840-8a64-44fd-8b58-46c879e32aa0,http://example.org/ContactPoint/41ac9fc3-f585-436c-91bb-07f1c1e8f76b
http://example.org/ContactPoint/2a8bc6f6-9f66-4919-9832-91be68522a8b,http://example.org/ContactPoint/22113fc7-bb04-4385-b1d0-775344a57c99
http://example.org/ContactPoint/b9bdee2d-d663-449d-955e-18b1fa83ada4,http://example.org/ContactPoint/359488d0-1e13-432d-84ad-7a84c97bc765
http://example.org/ContactPoint/584d3c02-0ff9-4318-922a-3a6211091978,http://example.org/ContactPoint/51c38eb3-0ef3-4f71-89b1-55f3278d9b3e
http://example.org/ContactPoint/ff4ab7c5-4d8a-42ce-97b8-323253f7489a,http://example.org/ContactPoint/04bd8098-3b16-4820-bde2-dc7ad235bbdf
http://example.org/ContactPoint/bba16224-4663-4bff-b0df-50beb8c9a6d3,http://example.org/ContactPoint/b3177095-9c45-4ca8-ac15-69b7f5017995
http://example.org/ContactPoint/58ba0bf3-675e-4c52-9eb9-5739b8acdd81,http://example.org/ContactPoint/2a051b44-afb5-4674-8cc7-677faf3b89a9
http://example.org/ContactPoint/d05d2cb9-6b76-411f-bc87-65b6b04a2620,http://example.org/ContactPoint/ba94f298-55d0-458f-9993-ad2b5f1b8826
http://example.org/ContactPoint/deb5b9e5-d838-43ce-b444-8cb3be767191,http://example.org/ContactPoint/5384f243-af9a-4a49-b85b-2c19c3b01062
http://example.org/ContactPoint/77aa80d0-427b-4a96-ae24-e998b9a83e16,http://example.org/ContactPoint/3cd21d5f-bbd6-4e16-a9af-cf77bbf2fe2b
http://example.org/ContactPoint/6fa68010-0ddd-49b7-80b4-25aae7eb533c,http://example.org/ContactPoint/f87b8858-e320-47af-a88f-aec7988af239
http://example.org/ContactPoint/81190840-8a64-44fd-8b58-46c879e32aa0,http://example.org/ContactPoint/58095fc8-97f8-40b7-86ac-ce9482b65611
http://example.org/ContactPoint/b311e39c-69d1-4180-b4c1-423311a3c10e,http://example.org/ContactPoint/cf8271b9-aa55-49f8-8d45-e6474d4524c3
http://example.org/ContactPoint/1f8941b6-e6a1-440b-b031-f4b9bb6b0095,http://example.org/ContactPoint/6f10a318-1bdd-406e-8411-641152249644
http://example.org/ContactPoint/7c923fb0-29ec-4824-b19e-071d267dad13,http://example.org/ContactPoint/6f08b104-fd00-41e4-92a3-10baadcf056a
http://example.org/ContactPoint/deb5b9e5-d838-43ce-b444-8cb3be767191,http://example.org/ContactPoint/47c5ec98-c531-4e9f-a7d9-33cad9b0dc8b
http://example.org/ContactPoint/35f690e9-6daa-47f7-b91b-cee8477c2eaa,http://example.org/ContactPoint/59c7e494-477b-4cbb-acf0-72a9027bd32b
http://example.org/ContactPoint/b5b52170-ec3b-4a45-be86-e65c18ce1760,http://example.org/ContactPoint/96cec88a-a2be-4882-b859-36369b9253b0
http://example.org/ContactPoint/35d5230f-9193-4af4-91fd-9097a31d9ef6,http://example.org/ContactPoint/86c84971-7952-461b-8a6d-d30825143676
http://example.org/ContactPoint/0ed91a32-4f0f-49db-8b6a-3fea01cf7f93,http://example.org/ContactPoint/04bd8098-3b16-4820-bde2-dc7ad235bbdf
http://example.org/ContactPoint/e5d6fb7f-0147-48f2-853b-8ffa4512a1e1,http://example.org/ContactPoint/92741061-ae78-4019-98fb-c11720e0013d
http://example.org/ContactPoint/56b69aea-ad2f-4073-bdeb-9011bbd09a1c,http://example.org/ContactPoint/12644e44-621d-4ffe-9beb-da534bb2d56a
http://example.org/ContactPoint/d733f669-852d-4585-88df-6b197c3ad037,http://example.org/ContactPoint/963bf434-54e5-486b-8cc7-d7842af77d80
http://example.org/ContactPoint/44587bbe-0a66-4218-a13b-be30b8b7da07,http://example.org/ContactPoint/46dccd5d-1caa-496e-baf0-ad5f9d4ee95b
http://example.org/ContactPoint/5804a881-1d8c-4a3b-a261-479043a061c4,http://example.org/ContactPoint/f5b51b93-854c-4f3a-8cdd-fb65cebd3aad
http://example.org/ContactPoint/2a8bc6f6-9f66-4919-9832-91be68522a8b,http://example.org/ContactPoint/55f2a470-457d-4c28-92ad-63021613e7eb
http://example.org/ContactPoint/cbc6b166-d5ad-4c81-86bc-1e2a7e9d98fd,http://example.org/ContactPoint/59c7e494-477b-4cbb-acf0-72a9027bd32b
http://example.org/ContactPoint/2a9e9a38-1d5a-474c-8da8-40fd4adb0798,http://example.org/ContactPoint/46dccd5d-1caa-496e-baf0-ad5f9d4ee95b
http://example.org/ContactPoint/9b28fcc2-c555-4816-8fd6-82749f9e4255,http://example.org/ContactPoint/db0ee47e-a83c-4cab-9a5d-ae30d59d7f66
http://example.org/ContactPoint/4f5a41c7-0fa0-4b35-a7b1-13deedeeefbd,http://example.org/ContactPoint/0c64d089-a36b-4465-b535-c92db254fa1f
http://example.org/ContactPoint/6fa68010-0ddd-49b7-80b4-25aae7eb533c,http://example.org/ContactPoint/e65929aa-12d1-4631-8a4d-904bf1c9158a
http://example.org/ContactPoint/af2b8e1b-fe5f-4e3b-9c19-85fceda86200,http://example.org/ContactPoint/9e65978f-724d-4633-8e6c-4dc104e149f0
http://example.org/ContactPoint/cf34a1ea-3318-4029-a3b2-f9f9cb578ed4,http://example.org/ContactPoint/e3bde9e4-e170-4ed3-8588-923efb9ef410
http://example.org/ContactPoint/fe9a3c26-7dbe-48f5-8aee-b090601bb630,http://example.org/ContactPoint/3779d984-ac26-4b41-9bb9-d28ef71ae092
http://example.org/ContactPoint/9090d244-c1d4-4db0-909b-f39cacb1691c,http://example.org/ContactPoint/4d28a9e8-f945-49e1-9e41-a0819a8776cb
http://example.org/ContactPoint/6ca1c7a8-ba71-4935-89d9-a4015207cce5,http://example.org/ContactPoint/252d282b-f0b8-4a61-9ba4-72feca94881c
http://example.org/ContactPoint/199831f0-8250-439c-bc84-e1d8786fd5d5,http://example.org/ContactPoint/435e00a9-ff0b-4dd8-a6ee-a7e9f21b9a86
http://example.org/ContactPoint/c24d532f-ca10-425a-912a-21749d270596,http://example.org/ContactPoint/6101da8a-2047-42e1-adfa-574699948a0d
http://example.org/ContactPoint/dd1d44e8-1d67-4e22-ad42-ec4ed1f4d64d,http://example.org/ContactPoint/3f3a9c77-b5f9-4fad-a233-e0455d1ea55f
http://example.org/ContactPoint/7648fb30-2d6d-4fa9-9859-792c2a865fb4,http://example.org/ContactPoint/3cd21d5f-bbd6-4e16-a9af-cf77bbf2fe2b
http://example.org/ContactPoint/ce1bb02a-cb4d-48d6-adb6-da351734a26c,http://example.org/ContactPoint/8f41fccc-befc-462e-8ba2-3ff945a5e8b6
http://example.org/ContactPoint/1cb2cb16-bd9f-4617-ae4a-5c81363ae3bc,http://example.org/ContactPoint/a5478c19-270e-4ed5-a9e0-fbba65500db8
http://example.org/ContactPoint/5c47c5a2-27dd-4d1f-acb2-5622eb37f4c2,http://example.org/ContactPoint/e375d537-034d-45cb-9683-db407cdffb7e
http://example.org/ContactPoint/19a14af2-15e0-41f2-907f-88de0fe8b3f2,http://example.org/ContactPoint/ee5ff29a-1d4d-4cba-a68f-44d1c05597ad
http://example.org/ContactPoint/9d2e5daa-3788-47ce-bcab-7a91183947ef,http://example.org/ContactPoint/8a205b45-7413-4ba4-a467-85b187bb7a61
http://example.org/ContactPoint/10c68cfe-4f2c-4bfa-84d5-86dbca2e255f,http://example.org/ContactPoint/22a4e4ce-f203-476e-b2cb-05057eb3b2b8
http://example.org/ContactPoint/c2555384-f868-44ec-9163-38135b0f0d7c,http://example.org/ContactPoint/b20b9e2e-3ac7-4695-a31b-8c89f3515207
http://example.org/ContactPoint/fdcafb55-d386-458c-9341-16e3074af7dc,http://example.org/ContactPoint/2c6efc93-e29e-4ae4-beaa-64915587abc3
http://example.org/ContactPoint/b15fd5e8-fc3a-49ce-a2c5-a15cb3d7f89f,http://example.org/ContactPoint/c076d1d4-541d-4d4b-aca9-057ecce2d23c
http://example.org/ContactPoint/852d2ee5-0061-4d30-9907-3286329cd43a,http://example.org/ContactPoint/1d54d1ca-2ae2-4091-931f-6dc206b0fc83
http://example.org/ContactPoint/10c68cfe-4f2c-4bfa-84d5-86dbca2e255f,http://example.org/ContactPoint/95cada2d-35c3-48cf-939d-f94b9efdc8b0
http://example.org/ContactPoint/44a07ecb-5fb2-4686-8bee-3f1d5fc97072,http://example.org/ContactPoint/aaf8b0bb-a252-450f-8c86-bcab1f280404
http://example.org/ContactPoint/7a299619-d524-4973-8b8e-1c51ee31aabc,http://example.org/ContactPoint/b745d414-9ed0-4d5c-8486-3ec036ebf8b1
http://example.org/ContactPoint/a77c6b54-f7f1-4de7-a74a-7fff513c6538,http://example.org/ContactPoint/2e32cd68-d7e1-42af-b23b-7033ee60a6bb
http://example.org/ContactPoint/09b521fc-7d51-4f5e-9855-226a6ec6b631,http://example.org/ContactPoint/e1a8df78-38cb-41f1-bcfe-e5226b479f80
http://example.org/ContactPoint/a8043f49-61fb-4b45-9bf8-16597a0cb6f8,http://example.org/ContactPoint/c712359d-8e2f-4d5f-a85a-de7473c722b8
http://example.org/ContactPoint/bba16224-4663-4bff-b0df-50beb8c9a6d3,http://example.org/ContactPoint/e439ac50-aeb9-48ad-bcc4-dd813f83e6a2
