uri1,uri2
http://example.org/HealthcareOrganization/062d7f7a-45da-41f3-9a7e-256db6ffe12c,http://example.org/HealthcareOrganization/3fa3531b-0a64-43c5-a322-eb55361ccc46
http://example.org/HealthcareOrganization/f2ad985f-ff3e-4ba1-8ac7-28b4a41865bf,http://example.org/HealthcareOrganization/2aadd263-5c53-44c6-9802-06107cf67cae
http://example.org/HealthcareOrganization/ce8c037e-e51c-4cdb-8247-34dfdd1f8e30,http://example.org/HealthcareOrganization/7234be09-62c3-4af0-a8a2-512db3837586
http://example.org/HealthcareOrganization/52526d45-9c68-4df1-8a51-5e8746ba6855,http://example.org/HealthcareOrganization/5706d663-a79f-4ed7-ba83-3481813fc172
http://example.org/HealthcareOrganization/ce8c037e-e51c-4cdb-8247-34dfdd1f8e30,http://example.org/HealthcareOrganization/d0d3b530-ea84-48fe-a5d7-462290559b43
http://example.org/HealthcareOrganization/71545a13-7a1d-4006-8d72-3104f77383c1,http://example.org/HealthcareOrganization/5706d663-a79f-4ed7-ba83-3481813fc172
http://example.org/HealthcareOrganization/40d2d16f-3db6-42f4-adf2-fc823956fba9,http://example.org/HealthcareOrganization/128a7772-ac13-48ef-88a3-f7036f358b93
http://example.org/HealthcareOrganization/1e454241-45c1-40a8-a52b-a0ce627b585f,http://example.org/HealthcareOrganization/63f6cc81-0dc7-41ca-aaaf-f9d3334e7694
http://example.org/HealthcareOrganization/1ee1723b-4a96-46a4-a752-41027acf6bcc,http://example.org/HealthcareOrganization/8cb54726-1c42-4298-81b5-87059b74c3bd
http://example.org/HealthcareOrganization/f164f9d8-4312-4ce2-9c21-51e17e56ac3d,http://example.org/HealthcareOrganization/6a3d28fe-13b4-49a7-b83b-4ae035f929ba
http://example.org/HealthcareOrganization/1e454241-45c1-40a8-a52b-a0ce627b585f,http://example.org/HealthcareOrganization/b4caa2be-6d29-4b5b-b95d-bda5633b392b
