uri1,uri2
http://example.org/ContactPoint/f33c5682-6053-494b-9db0-3e9a0c248f08,http://example.org/ContactPoint/60160219-82db-46bd-a698-138404521619
http://example.org/ContactPoint/4605dc4a-549f-4214-aae4-f71bf91e6fef,http://example.org/ContactPoint/b1b9bc63-9036-4280-890b-5a1b2c28ed24
http://example.org/ContactPoint/68159dd7-e780-4601-9430-efd12d92532d,http://example.org/ContactPoint/fdbb1aba-2172-407e-81c5-22c83703c1f6
http://example.org/ContactPoint/623ae7d8-4cc3-4606-b187-9eb87d453d9e,http://example.org/ContactPoint/d92b5dd1-a87a-4cf4-82f9-1322360583ce
http://example.org/ContactPoint/dc21c621-ccc7-48df-a82f-5c7eaeb502c3,http://example.org/ContactPoint/866182dd-9fdb-4a42-882f-26deb21726f0
http://example.org/ContactPoint/08415966-ad7b-487f-befd-e1439889cbe1,http://example.org/ContactPoint/c3e632ca-a86c-4298-bd36-c55da0ef5737
http://example.org/ContactPoint/e3eacc96-ae74-4428-8839-944dda76035f,http://example.org/ContactPoint/d683cb77-b235-4073-b7f9-e6d654adb2c2
http://example.org/ContactPoint/d042c1c8-4900-44e6-a873-6d8a12ee6e46,http://example.org/ContactPoint/ea7b45c1-7a2e-4fb5-9943-9447856bf2c8
http://example.org/ContactPoint/dba45b5e-1498-465b-b9fe-0a1b7efbe877,http://example.org/ContactPoint/429170e6-6b85-4a71-af69-c7cb082f054e
http://example.org/ContactPoint/4cc57b45-ca6b-4cda-9282-58767dd1c306,http://example.org/ContactPoint/8d1acaa9-496d-45ea-bf53-eadbf2831c8b
http://example.org/ContactPoint/141c7bda-3578-47cd-9cbf-26cb9082bfd1,http://example.org/ContactPoint/094f374a-c4e5-439a-bc35-d315680ffbcc
http://example.org/ContactPoint/d2764690-5453-4720-8274-3edb9489cd28,http://example.org/ContactPoint/d683cb77-b235-4073-b7f9-e6d654adb2c2
http://example.org/ContactPoint/eb6ec9e0-225f-4457-9662-5aa1056b565f,http://example.org/ContactPoint/46397c9d-4322-419d-9404-6e2244ec637a
http://example.org/ContactPoint/9d2e5daa-3788-47ce-bcab-7a91183947ef,http://example.org/ContactPoint/1bafa8f1-3a5d-4fea-aa0b-38370a09d6b6
http://example.org/ContactPoint/7c923fb0-29ec-4824-b19e-071d267dad13,http://example.org/ContactPoint/468d334e-9424-4067-9c06-e7672a311741
http://example.org/ContactPoint/e7b550fa-b56b-4796-ad82-85675feaf4a9,http://example.org/ContactPoint/1f2c7f1d-fcb8-4f73-9aef-27f66b4fe4c6
http://example.org/ContactPoint/14998517-6e5e-4126-9082-9e6189a14e1a,http://example.org/ContactPoint/9a61493c-7524-46b8-b6a2-f1522a96c1a2
http://example.org/ContactPoint/b3d55a90-fb0c-47db-82da-2de29ae17ed8,http://example.org/ContactPoint/875d7371-ea13-4e39-a55e-bafa01aef956
http://example.org/ContactPoint/ece6ce51-ceea-4c09-9b10-61e27efc5b0d,http://example.org/ContactPoint/16c5d27b-9f7b-438b-932c-d6d68ca35d1a
http://example.org/ContactPoint/f35fd4a8-05e1-4a9a-a643-7b65c63c3d08,http://example.org/ContactPoint/27e696e8-5b3f-439f-b694-d7c58145d4a1
http://example.org/ContactPoint/37b84200-2207-48f5-a2ab-5123047286ac,http://example.org/ContactPoint/33dcdda1-3d0d-4e98-81e3-84cdf875af7f
http://example.org/ContactPoint/48cbdf4c-aa99-4864-9ee1-ecbacc106506,http://example.org/ContactPoint/340ea36d-bf99-4323-b9dd-85781d3677b9
http://example.org/ContactPoint/f33c5682-6053-494b-9db0-3e9a0c248f08,http://example.org/ContactPoint/c5ecde9f-0cfa-46dd-bd8b-e9823426d567
http://example.org/ContactPoint/7e43c0b7-b356-4e54-a7b9-528c63f72b5f,http://example.org/ContactPoint/7ff9a44e-4790-4e57-845c-0091feb0cea1
http://example.org/ContactPoint/2a9e9a38-1d5a-474c-8da8-40fd4adb0798,http://example.org/ContactPoint/0ebac542-10da-41e5-aaf0-32714d490a38
http://example.org/ContactPoint/a5dc7c7b-cfa8-4592-8055-6e426b496a3b,http://example.org/ContactPoint/33e987dc-431f-435f-b8ff-678d16859830
http://example.org/ContactPoint/caa831ba-98fb-439b-93ba-77151f224a02,http://example.org/ContactPoint/3f94fd29-f46c-47af-af92-7101f88a62a8
http://example.org/ContactPoint/9d2e5daa-3788-47ce-bcab-7a91183947ef,http://example.org/ContactPoint/9212ce67-2ac7-4049-a3bf-b89a46ccd6c2
http://example.org/ContactPoint/44a07ecb-5fb2-4686-8bee-3f1d5fc97072,http://example.org/ContactPoint/1b4b7dd4-e8da-42e3-9c20-dde956f837bc
http://example.org/ContactPoint/eff8b24b-af8b-4fbe-a5ed-5d8a8ff7401a,http://example.org/ContactPoint/195b0842-008c-408b-8106-03d1ef1e951b
http://example.org/ContactPoint/eb6ec9e0-225f-4457-9662-5aa1056b565f,http://example.org/ContactPoint/2af3e6ed-842a-42c9-ad2b-897fe5014963
http://example.org/ContactPoint/627a91fe-afdb-444c-a5c2-2565bf0f959f,http://example.org/ContactPoint/b5f50fc0-537f-4671-9628-8c3f4fcc8f77
http://example.org/ContactPoint/48cbdf4c-aa99-4864-9ee1-ecbacc106506,http://example.org/ContactPoint/073721df-befb-4dbc-b22e-0f444cbb8b90
http://example.org/ContactPoint/44a07ecb-5fb2-4686-8bee-3f1d5fc97072,http://example.org/ContactPoint/7c9d5f59-d5ec-41b8-b8c1-0758de4bfebb
http://example.org/ContactPoint/c24d532f-ca10-425a-912a-21749d270596,http://example.org/ContactPoint/2bd7e5e3-8a5c-4183-a3bf-0c5f4b02e286
http://example.org/ContactPoint/a529c5c4-2131-4d8a-b876-74dc7d8c3b75,http://example.org/ContactPoint/0ebac542-10da-41e5-aaf0-32714d490a38
http://example.org/ContactPoint/44a07ecb-5fb2-4686-8bee-3f1d5fc97072,http://example.org/ContactPoint/69bcd91f-c29c-43a8-a281-25a8bede67ee
http://example.org/ContactPoint/37b84200-2207-48f5-a2ab-5123047286ac,http://example.org/ContactPoint/341f7bd2-9b45-4cb4-9a35-eaaff1be9656
http://example.org/ContactPoint/afaaf44c-5482-42d3-afc6-d195af9d872a,http://example.org/ContactPoint/f1fee53f-8c8f-43c5-ad19-b2c9620aaa7c
http://example.org/ContactPoint/badf79f7-b45d-472e-b078-c9f4db0d4810,http://example.org/ContactPoint/875d7371-ea13-4e39-a55e-bafa01aef956
http://example.org/ContactPoint/e5d6fb7f-0147-48f2-853b-8ffa4512a1e1,http://example.org/ContactPoint/495071a8-b317-4487-8cea-be3f623023b7
http://example.org/ContactPoint/a4569258-9567-4664-ade3-57a96104ad32,http://example.org/ContactPoint/446010ca-28fb-465a-b7d3-4652a35d7602
http://example.org/ContactPoint/f5b9cc00-6c51-4441-b9d7-e05aafde15ec,http://example.org/ContactPoint/e66a59a3-b578-4a62-90c9-e76da443b0d8
http://example.org/ContactPoint/caa831ba-98fb-439b-93ba-77151f224a02,http://example.org/ContactPoint/34d87b15-4bd9-4435-b77d-d9129db59b1d
http://example.org/ContactPoint/7e48a1c8-ef4d-478a-b195-c85b1a78dfc0,http://example.org/ContactPoint/6ba77dc1-dc2b-41a9-ac99-3dbfd908d451
http://example.org/ContactPoint/48cbdf4c-aa99-4864-9ee1-ecbacc106506,http://example.org/ContactPoint/a05da802-e847-4c9b-b7c3-2b64bff8f522
http://example.org/ContactPoint/901355e7-a6fe-434f-a6bd-a493a18b020e,http://example.org/ContactPoint/83b6dc42-cfb2-4a08-8ce7-3c9a7843acbe
http://example.org/ContactPoint/a36bcb01-67e9-4363-905c-053b25fdacbe,http://example.org/ContactPoint/12e856cd-67cf-4b4b-ad47-d4ab18c2073f
http://example.org/ContactPoint/58e71b7b-cc0a-4936-bb33-0e5fcb00bc7c,http://example.org/ContactPoint/3a7e19a0-cd98-4592-a5a3-2c3dec16c0b1
http://example.org/ContactPoint/4f5a41c7-0fa0-4b35-a7b1-13deedeeefbd,http://example.org/ContactPoint/50e6556d-c23e-4762-85b3-3dc72e9e1cf6
http://example.org/ContactPoint/a54e6c8f-ecb3-477a-acef-5e55840658d1,http://example.org/ContactPoint/364be32e-74bc-4b87-abc6-82da51edb612
http://example.org/ContactPoint/0907a963-cf62-4de6-9131-507d92f42460,http://example.org/ContactPoint/bea9538d-ea62-432f-805e-639b89f5a270
http://example.org/ContactPoint/19a14af2-15e0-41f2-907f-88de0fe8b3f2,http://example.org/ContactPoint/c3e632ca-a86c-4298-bd36-c55da0ef5737
http://example.org/ContactPoint/4cc57b45-ca6b-4cda-9282-58767dd1c306,http://example.org/ContactPoint/fb142582-0147-4d8c-b8b6-8856b59cc32e
http://example.org/ContactPoint/d3e2736b-d15b-43f0-a149-9f675c8629e2,http://example.org/ContactPoint/acee8c40-af01-42b0-91d3-1df83f181a9f
http://example.org/ContactPoint/ece6ce51-ceea-4c09-9b10-61e27efc5b0d,http://example.org/ContactPoint/0359d09f-b81b-4d2a-9904-5bedb6af52ce
http://example.org/ContactPoint/08c64569-dc98-4e99-80a1-4ad8e17e7630,http://example.org/ContactPoint/794ce0dc-f27d-43e3-8cdf-c3f28cc01c7d
http://example.org/ContactPoint/976ae5fb-66f1-40a0-ba1a-262bba13834f,http://example.org/ContactPoint/602536f7-18fa-462c-b0da-06194372a4f0
http://example.org/ContactPoint/2a9e9a38-1d5a-474c-8da8-40fd4adb0798,http://example.org/ContactPoint/b6e552f1-2689-4ec5-a20b-4cabec1f6219
http://example.org/ContactPoint/d7e5486c-066b-43ff-bfb0-7b560d823875,http://example.org/ContactPoint/1ab9dfc8-a8c4-468f-9bc3-2f2cf2735786
http://example.org/ContactPoint/c326fbf2-4731-4680-9275-07dd390cfd7e,http://example.org/ContactPoint/765539ad-9ffd-4cd9-91a9-30c0daba4df2
http://example.org/ContactPoint/689a0ced-3e14-44b1-9a00-cb0031f1f4f4,http://example.org/ContactPoint/fd3723f2-d86f-45b2-b348-14d372f012bc
http://example.org/ContactPoint/fe9a3c26-7dbe-48f5-8aee-b090601bb630,http://example.org/ContactPoint/b4e51962-666f-4b6c-8dc8-022471d3a220
http://example.org/ContactPoint/a0a8175d-88f1-4464-85e8-b8d8966f92d4,http://example.org/ContactPoint/25373ebe-8b63-40a3-8d40-a27d0ef95153
http://example.org/ContactPoint/8397d412-7118-4b71-8707-e77b4bf0ae53,http://example.org/ContactPoint/a6e5b62b-897b-4deb-b2f2-156878116ec7
http://example.org/ContactPoint/536ff84c-82c7-4e62-9f61-7ff963611515,http://example.org/ContactPoint/69bcd91f-c29c-43a8-a281-25a8bede67ee
http://example.org/ContactPoint/5968b4b7-91ad-42a0-a820-53e2d813db5e,http://example.org/ContactPoint/1ab9dfc8-a8c4-468f-9bc3-2f2cf2735786
http://example.org/ContactPoint/14998517-6e5e-4126-9082-9e6189a14e1a,http://example.org/ContactPoint/c257c95f-a917-4caa-b8b9-37b59463a82e
http://example.org/ContactPoint/976545fd-4982-493b-88e0-e8df688ba9e7,http://example.org/ContactPoint/bdc6dd13-3c23-4a84-aba2-ccc40385da8b
http://example.org/ContactPoint/7c7e8bd2-f193-48ca-844d-d831dad389fe,http://example.org/ContactPoint/6f4be7c9-6f46-44c3-be37-a633b5022339
http://example.org/ContactPoint/c66a764d-4c99-4848-a7eb-cbed076fdbae,http://example.org/ContactPoint/db84fea0-cc68-40ff-9c31-2076bc339775
http://example.org/ContactPoint/c6b7e7cb-be0d-44ed-b306-1611ef96a214,http://example.org/ContactPoint/352194a1-5ecb-41dd-b144-177a46961ab9
http://example.org/ContactPoint/141c7bda-3578-47cd-9cbf-26cb9082bfd1,http://example.org/ContactPoint/7449cbd5-4232-4d2f-8e64-c9f1c883337f
http://example.org/ContactPoint/6da2ca98-e73b-4250-97db-48e4ba159c23,http://example.org/ContactPoint/0c7eaa15-e871-4bf6-961b-f25618eef26e
http://example.org/ContactPoint/e3677779-cd45-4722-bf9e-c8b457b0757b,http://example.org/ContactPoint/27e696e8-5b3f-439f-b694-d7c58145d4a1
http://example.org/ContactPoint/7f49992c-2e95-45b6-b4bd-bf67b5edc7eb,http://example.org/ContactPoint/9373c9c4-2f89-4734-8ddc-40ee565648cd
http://example.org/ContactPoint/e73243e6-d087-40dd-a6b6-f42c360ae10c,http://example.org/ContactPoint/d94adcab-5fe2-4ed4-9b08-7f3f395798ea
http://example.org/ContactPoint/1e3f6d3e-27b0-47f3-ad76-31fc71e16a87,http://example.org/ContactPoint/0403fe64-90b5-4fab-94a0-eef063c6eb6c
http://example.org/ContactPoint/536ff84c-82c7-4e62-9f61-7ff963611515,http://example.org/ContactPoint/1f2c7f1d-fcb8-4f73-9aef-27f66b4fe4c6
http://example.org/ContactPoint/ff4ab7c5-4d8a-42ce-97b8-323253f7489a,http://example.org/ContactPoint/5b4d1164-993e-4d6d-bd8d-ed255133f6d5
