uri1,uri2
http://example.org/HealthcareOrganization/f46860a2-a604-45af-b4db-1c1eaa66b464,http://example.org/HealthcareOrganization/d06b8121-0be8-48a9-9a61-ab3b0bd74fb9
http://example.org/HealthcareOrganization/fb5eb866-2640-411e-a9f2-c3c74505f4f6,http://example.org/HealthcareOrganization/26f46890-0379-492e-b0fd-1ae0899c0f43
http://example.org/HealthcareOrganization/f1c58f44-7e08-4c1b-8da6-a326451437d6,http://example.org/HealthcareOrganization/8697ea93-5041-4718-ac4c-d9ca82b88df0
http://example.org/HealthcareOrganization/ccc14d51-73f6-40d8-a9f4-1cc04653a560,http://example.org/HealthcareOrganization/b9b2ab46-158f-43a1-8c47-884061525764
http://example.org/HealthcareOrganization/da98da57-166a-4fc4-b513-198c67f8ab57,http://example.org/HealthcareOrganization/ba1c6582-628b-41c7-957e-d65369bbfc78
http://example.org/HealthcareOrganization/5f3f5638-3870-4a14-b490-b6081dfc8352,http://example.org/HealthcareOrganization/46c8556e-e0d5-430d-bce3-1f71a2892204
http://example.org/HealthcareOrganization/da98da57-166a-4fc4-b513-198c67f8ab57,http://example.org/HealthcareOrganization/46c8556e-e0d5-430d-bce3-1f71a2892204
http://example.org/HealthcareOrganization/839137a6-a977-4b71-9e6d-2d7e9f312acb,http://example.org/HealthcareOrganization/11bba09a-4488-4d58-a39b-a346c6c23b67
http://example.org/HealthcareOrganization/71545a13-7a1d-4006-8d72-3104f77383c1,http://example.org/HealthcareOrganization/32dae1ae-1668-47c4-bded-7783c2586987
http://example.org/HealthcareOrganization/f46860a2-a604-45af-b4db-1c1eaa66b464,http://example.org/HealthcareOrganization/4c6eb9ce-d42d-41c3-a665-48381493223a
http://example.org/HealthcareOrganization/0b5aafef-85a1-482a-8761-585b4168705a,http://example.org/HealthcareOrganization/c38e6e2e-eb33-4863-b655-69c79159be79
http://example.org/HealthcareOrganization/da98da57-166a-4fc4-b513-198c67f8ab57,http://example.org/HealthcareOrganization/338d84bc-ab71-4398-a760-d93d7d10be55
http://example.org/HealthcareOrganization/d4e4004b-9bde-499d-9a28-6b7a4d6d99a6,http://example.org/HealthcareOrganization/15daf390-76c3-4996-ba1d-88a2226ef15e
http://example.org/HealthcareOrganization/52526d45-9c68-4df1-8a51-5e8746ba6855,http://example.org/HealthcareOrganization/7e4abe74-c3f7-45f6-812b-1e9b4ac50911
http://example.org/HealthcareOrganization/f172840f-3e19-40ba-ae09-ccfba3dee81f,http://example.org/HealthcareOrganization/62ef6ca0-c03d-45e6-a047-2a86311a3cc1
http://example.org/HealthcareOrganization/062d7f7a-45da-41f3-9a7e-256db6ffe12c,http://example.org/HealthcareOrganization/46c8556e-e0d5-430d-bce3-1f71a2892204
http://example.org/HealthcareOrganization/40d2d16f-3db6-42f4-adf2-fc823956fba9,http://example.org/HealthcareOrganization/c605b10f-7bde-4db0-b3e2-65a816ca72dd
http://example.org/HealthcareOrganization/59cd012a-06b4-4b6f-9f94-e3c818a77594,http://example.org/HealthcareOrganization/15daf390-76c3-4996-ba1d-88a2226ef15e
http://example.org/HealthcareOrganization/f164f9d8-4312-4ce2-9c21-51e17e56ac3d,http://example.org/HealthcareOrganization/c8545b40-126e-4261-99f5-29b5ebc2ebde
http://example.org/HealthcareOrganization/1e454241-45c1-40a8-a52b-a0ce627b585f,http://example.org/HealthcareOrganization/36779c74-407f-4f44-9fa3-d3a953ac75d1
http://example.org/HealthcareOrganization/909b471c-0d1f-4a7f-90fc-e92295be263b,http://example.org/HealthcareOrganization/4520ab7c-992a-42fa-b66e-f626af3a58b0
http://example.org/HealthcareOrganization/da98da57-166a-4fc4-b513-198c67f8ab57,http://example.org/HealthcareOrganization/748ff63a-72f6-447d-bc14-f6b76ec3ae3c
