uri1,uri2
http://example.org/ServiceDepartment/c1abdb85-2b7e-4e1e-bad5-2d4663d029f4,http://example.org/ServiceDepartment/cb57841d-dac8-4363-8486-f0905a303ae1
http://example.org/ServiceDepartment/da11d2c9-43e6-4d9b-9e7e-0170a4819363,http://example.org/ServiceDepartment/1b2dd982-1c68-4d4e-aea8-19a52c1a1bb1
http://example.org/ServiceDepartment/7da9c122-ac2f-4716-9f53-9ccb6f1ad171,http://example.org/ServiceDepartment/c8e63a9d-89c7-4e5c-b0c2-bde403765b09
http://example.org/ServiceDepartment/005ad60d-d531-49f4-baa4-d9ec21f91a0a,http://example.org/ServiceDepartment/ed080917-dcb1-4b75-84d9-8d89536dca8f
http://example.org/ServiceDepartment/b6a49911-5597-48f5-82b4-2bf869e5ab7b,http://example.org/ServiceDepartment/34658675-38d4-4bfd-a6cb-96c8d5565809
http://example.org/ServiceDepartment/4e3ad80f-e90d-44fb-a986-fd223619551e,http://example.org/ServiceDepartment/ada6be6e-b401-4708-ad9d-0a8691db94cd
http://example.org/ServiceDepartment/66bfc5f8-5cbe-4e7a-b4e0-da1e433fd7e1,http://example.org/ServiceDepartment/e5a5b651-f4a0-49a1-968a-05ca8797f9f0
http://example.org/ServiceDepartment/ea76264d-d236-453d-a460-37c0ec5e9c01,http://example.org/ServiceDepartment/67fcb922-a0c1-4e64-ba5b-d7d21a693756
http://example.org/ServiceDepartment/32e9933d-649e-4f3a-a3e7-66b702352cfc,http://example.org/ServiceDepartment/a5e4bbd3-6a8b-4340-9ac6-b30290cd338f
http://example.org/ServiceDepartment/ec1f7385-bcf9-4d2c-8485-1fc23e8650df,http://example.org/ServiceDepartment/7a374f4e-aa9d-475f-8c2d-f5e92ed3c815
http://example.org/ServiceDepartment/56220722-8cf6-4636-811b-74f7b5dc436b,http://example.org/ServiceDepartment/57f69b3a-922f-4d44-9b7c-e60af1bea9d0
http://example.org/ServiceDepartment/5822d645-49c8-4564-9e86-f6aa04cb5e62,http://example.org/ServiceDepartment/d5c393ca-0c0a-4ca6-85f8-b080f207ca49
http://example.org/ServiceDepartment/4fd97aa2-8fed-4ae0-aedc-75786b62be24,http://example.org/ServiceDepartment/10030cbf-4e79-4dbe-80a3-8a20a207685d
http://example.org/ServiceDepartment/94a5e027-ddd5-417e-b20e-f63ff0ae75be,http://example.org/ServiceDepartment/b7d35596-b97b-44ab-b02a-903e5bcf787f
http://example.org/ServiceDepartment/bda3235a-e16a-4f5e-b64b-3afeb58dc25f,http://example.org/ServiceDepartment/7034e022-c373-4157-80c3-e8c85e0537f5
http://example.org/ServiceDepartment/17d7d292-7cf0-485f-9284-fc455496e9ed,http://example.org/ServiceDepartment/aad7770a-fecd-4e82-a565-dd57cad10124
http://example.org/ServiceDepartment/4ae40aa0-e9b6-483c-ae2f-d7655f0c44b8,http://example.org/ServiceDepartment/a23f5e7e-e935-4f2e-b4dd-d8cdc42ed5b6
http://example.org/ServiceDepartment/c4fa262b-6f97-421b-8b21-72ba6240c38c,http://example.org/ServiceDepartment/833d80bd-a6e0-4c09-870f-38813761373a
http://example.org/ServiceDepartment/39739c23-a1c1-4975-bdad-9e7df71ba9fa,http://example.org/ServiceDepartment/f1166087-1373-4428-b14c-7743de0f6462
http://example.org/ServiceDepartment/2717b825-f9d8-4181-b717-91d53368d190,http://example.org/ServiceDepartment/aaa764c2-c2af-4002-a066-bb5ac64433e1
http://example.org/ServiceDepartment/833cf90f-f555-4628-9d15-3fb4968051b7,http://example.org/ServiceDepartment/49ee7bb7-688a-43f6-a401-cab9dda082f9
http://example.org/ServiceDepartment/8a5c4874-9fc3-4fc8-9847-0ea1392047e8,http://example.org/ServiceDepartment/3fc0c711-0ccb-4f88-aef4-a7b63f1e8af0
http://example.org/ServiceDepartment/fa4619f2-0a8f-4a80-aa61-5a6e815aea9d,http://example.org/ServiceDepartment/6530f462-4de4-4ac4-a4e1-e9470c4a9a3c
http://example.org/ServiceDepartment/7acbf932-e154-419d-bc39-c32a72916b34,http://example.org/ServiceDepartment/6e35fd3e-0be9-4006-b6b8-4981e4e1359c
