uri1,uri2
http://example.org/ContactPoint/bbda98aa-ae43-4b71-b8ec-fe833a614c6c,http://example.org/ContactPoint/08055f81-fa57-4e8d-beae-68c9334cb74e
http://example.org/ContactPoint/be76feab-3fe3-4ef9-9234-21832eefb25b,http://example.org/ContactPoint/48006faa-9ebb-4ec2-b13c-2f3a5943c7f3
http://example.org/ContactPoint/5968b4b7-91ad-42a0-a820-53e2d813db5e,http://example.org/ContactPoint/8956827f-cc35-4216-a305-f3fb2548d520
http://example.org/ContactPoint/35d5230f-9193-4af4-91fd-9097a31d9ef6,http://example.org/ContactPoint/ed2007db-f00f-44ee-b0b7-48dab5f20125
http://example.org/ContactPoint/af2b8e1b-fe5f-4e3b-9c19-85fceda86200,http://example.org/ContactPoint/ea4031d1-cacd-41bf-b976-acb3276b0b25
http://example.org/ContactPoint/c59e8235-0d28-4925-b248-50451406baa6,http://example.org/ContactPoint/bea05a93-4173-4b8d-bb65-d16052803344
http://example.org/ContactPoint/6251d74d-61f9-4408-b833-0558fb2323e7,http://example.org/ContactPoint/58c4e7bf-ca3e-4e68-90e5-87e306951a62
http://example.org/ContactPoint/852d2ee5-0061-4d30-9907-3286329cd43a,http://example.org/ContactPoint/19c5eb6c-00db-481a-a0eb-c684e26e9427
http://example.org/ContactPoint/58e71b7b-cc0a-4936-bb33-0e5fcb00bc7c,http://example.org/ContactPoint/afb8c43f-1f26-45d7-b585-7e2b113605ed
http://example.org/ContactPoint/60c3746c-bc6b-404b-9a3d-4eac1e682c1f,http://example.org/ContactPoint/47a2932e-6b63-4f50-a76e-8ba0601c6167
http://example.org/ContactPoint/9d2e5daa-3788-47ce-bcab-7a91183947ef,http://example.org/ContactPoint/5c085c28-84a3-4229-a142-bd79c9b11a68
http://example.org/ContactPoint/18f13c60-2bbe-4100-a162-113f8285b5e8,http://example.org/ContactPoint/3452f60c-1fdb-44f5-9ab9-4317ce2e3155
http://example.org/ContactPoint/a4569258-9567-4664-ade3-57a96104ad32,http://example.org/ContactPoint/d8617868-a183-403f-962e-4deed2c45136
http://example.org/ContactPoint/83d685f7-9654-4df0-9e5b-9e4ac15bef1e,http://example.org/ContactPoint/d702fbad-fc6b-4cd7-9190-4ceba7f420c9
http://example.org/ContactPoint/d876ba3e-fae4-4de8-9da2-c90ce0cebd21,http://example.org/ContactPoint/1dab5740-b6e5-442e-b8a1-99dc532bbadb
http://example.org/ContactPoint/35331bc5-5abd-452e-a300-47d0085d7943,http://example.org/ContactPoint/fb3d2eb4-6492-413a-b326-8934a4b2e21e
http://example.org/ContactPoint/9d2e5daa-3788-47ce-bcab-7a91183947ef,http://example.org/ContactPoint/240021e5-cff6-4eb9-8fb2-0ab4df5e4eaf
http://example.org/ContactPoint/901355e7-a6fe-434f-a6bd-a493a18b020e,http://example.org/ContactPoint/2cf9aab9-d3e6-4aa7-9188-f75decf23241
http://example.org/ContactPoint/00d2ff48-c92f-4d5b-8f67-59680a0110c1,http://example.org/ContactPoint/27b19ffa-6c93-4a67-bc99-5fd083840ec2
http://example.org/ContactPoint/b421eaeb-5340-47ca-baf3-897a3e70f16a,http://example.org/ContactPoint/0f16a6ca-c04d-4acf-9cb5-015c763f0160
http://example.org/ContactPoint/f059a06d-d7fa-45bc-9dc1-1ea22f06771e,http://example.org/ContactPoint/ac9125fe-4d32-488b-b600-5d326be75e97
http://example.org/ContactPoint/da324532-ef91-4809-9b05-b8cb99fbc141,http://example.org/ContactPoint/d0900e1a-6499-4e88-9d13-63a83e3f24c8
http://example.org/ContactPoint/c4d15705-8b1a-4951-a3cf-4a95937cdb03,http://example.org/ContactPoint/eeb646ea-333f-402a-ac11-7af56e3873df
http://example.org/ContactPoint/e20e2224-47d3-4352-8019-fdfa510020c1,http://example.org/ContactPoint/bba5d42e-e402-4445-8902-f3d11200cbdb
http://example.org/ContactPoint/35d5230f-9193-4af4-91fd-9097a31d9ef6,http://example.org/ContactPoint/2996b437-38bc-4ea4-8ad6-5df7def002e6
http://example.org/ContactPoint/e36a614f-5812-447f-8276-e4480d3e2b86,http://example.org/ContactPoint/b825b53f-03f8-4b0e-afd7-a3b436038dc5
http://example.org/ContactPoint/0f33131c-98ec-42e1-bccc-a57a3b1eadb0,http://example.org/ContactPoint/4c55c391-9e94-417f-8386-02ba86a37327
http://example.org/ContactPoint/dc07f7ba-1aa1-4d8f-ba0b-aab0663b1799,http://example.org/ContactPoint/8d74eb44-ef13-4d66-b8d8-0e356f936497
http://example.org/ContactPoint/ece6ce51-ceea-4c09-9b10-61e27efc5b0d,http://example.org/ContactPoint/66e9f92a-4f9c-4265-bce9-c53ce377495f
http://example.org/ContactPoint/21f2f77d-e8eb-438d-b874-94700305ba49,http://example.org/ContactPoint/afc57e22-af6b-453e-9eae-0dcd66452c53
http://example.org/ContactPoint/396836c7-7c79-4d7c-a64a-aa398354e04f,http://example.org/ContactPoint/772e4251-4d15-4cee-9279-490cac23ee4a
http://example.org/ContactPoint/9090d244-c1d4-4db0-909b-f39cacb1691c,http://example.org/ContactPoint/154e9d5d-b325-400d-a82b-8ba852fa6df0
http://example.org/ContactPoint/4ee79c5a-55fd-4bb8-91c0-ccb1d0ebc1e4,http://example.org/ContactPoint/fb3d2eb4-6492-413a-b326-8934a4b2e21e
http://example.org/ContactPoint/48cbdf4c-aa99-4864-9ee1-ecbacc106506,http://example.org/ContactPoint/18ac2595-5b8a-4e5a-9d41-36650b4712c5
http://example.org/ContactPoint/f109bc67-a0f8-4547-9713-88efc973c4e3,http://example.org/ContactPoint/6b3733ba-1454-42ad-a33d-62bb93ec5dd2
http://example.org/ContactPoint/5b5eea1f-8eac-4752-a34a-d5b9fd72a908,http://example.org/ContactPoint/dd817395-f4a7-4de7-8f9a-d3839a9a2905
http://example.org/ContactPoint/93345811-d480-4956-88f7-07ca20d086a6,http://example.org/ContactPoint/e5a197ab-27e6-4c12-aeb4-bee6cf1d86e6
http://example.org/ContactPoint/0217f0a3-3096-445e-a061-ddc6765dfe41,http://example.org/ContactPoint/5c085c28-84a3-4229-a142-bd79c9b11a68
http://example.org/ContactPoint/98ed2175-7eba-4a36-994a-5bfdcf3f0e62,http://example.org/ContactPoint/bcb294c0-2dc3-4c0a-b516-5a9cf5785389
http://example.org/ContactPoint/aacf7c01-6bf7-411e-a545-aafca2a8d7f7,http://example.org/ContactPoint/0620c66d-7ff9-45a0-a846-ae3635a26452
http://example.org/ContactPoint/56b69aea-ad2f-4073-bdeb-9011bbd09a1c,http://example.org/ContactPoint/1198b157-640e-472a-a708-8a3973ec66af
http://example.org/ContactPoint/48a787be-4055-4dbb-b250-43396f9c2d00,http://example.org/ContactPoint/7479c544-ae1a-4c33-b37c-19a6bcf5c6bd
http://example.org/ContactPoint/a529c5c4-2131-4d8a-b876-74dc7d8c3b75,http://example.org/ContactPoint/cb8d9dfd-c717-4900-a9f2-18bd6c729b3e
http://example.org/ContactPoint/e3eacc96-ae74-4428-8839-944dda76035f,http://example.org/ContactPoint/993b706a-8b9f-4486-9a9d-fe60ac896f98
http://example.org/ContactPoint/14998517-6e5e-4126-9082-9e6189a14e1a,http://example.org/ContactPoint/fff52c2d-f396-44f7-b8b9-78c17b8d424c
http://example.org/ContactPoint/3b4e134a-8367-4cb1-909c-0f916e999c46,http://example.org/ContactPoint/ad02c20d-0be9-4ce2-a1c3-5a3b4b19802c
http://example.org/ContactPoint/badf79f7-b45d-472e-b078-c9f4db0d4810,http://example.org/ContactPoint/24f9aeb8-17ca-4a56-81e2-2a0a20199b5c
http://example.org/ContactPoint/220c3451-2714-4f43-90f5-a5a010b03641,http://example.org/ContactPoint/7dafabb3-4516-4182-bdd0-35149f359d4f
http://example.org/ContactPoint/2b243c58-9743-4bc8-bba4-35db5c0d4feb,http://example.org/ContactPoint/bba5d42e-e402-4445-8902-f3d11200cbdb
