uri1,uri2
http://example.org/ContactPoint/028dba17-7f30-4ca3-916d-5d35e4a85e2b,http://example.org/ContactPoint/af5913de-7920-41db-b2f1-1fa4864ecc51
http://example.org/ContactPoint/aacf7c01-6bf7-411e-a545-aafca2a8d7f7,http://example.org/ContactPoint/0c64d089-a36b-4465-b535-c92db254fa1f
http://example.org/ContactPoint/436bd6b0-6171-4776-be66-203207f61f43,http://example.org/ContactPoint/5dbb42da-d4ca-4b5f-8bc5-db3ed1297fa2
http://example.org/ContactPoint/0ed91a32-4f0f-49db-8b6a-3fea01cf7f93,http://example.org/ContactPoint/2136b80f-0319-448f-b49e-f5e6c6338d71
http://example.org/ContactPoint/a54e6c8f-ecb3-477a-acef-5e55840658d1,http://example.org/ContactPoint/0b1cbbfd-dc43-4368-ab41-49efda934682
http://example.org/ContactPoint/87fde43c-9c72-41e4-ac1a-c8a3ed51fa2b,http://example.org/ContactPoint/7ded23ac-ec51-4e9b-856f-dfe2045ed124
http://example.org/ContactPoint/a529c5c4-2131-4d8a-b876-74dc7d8c3b75,http://example.org/ContactPoint/a5478c19-270e-4ed5-a9e0-fbba65500db8
http://example.org/ContactPoint/5968b4b7-91ad-42a0-a820-53e2d813db5e,http://example.org/ContactPoint/126e6df9-419f-4c08-9d58-9b287a06f50e
http://example.org/ContactPoint/a36bcb01-67e9-4363-905c-053b25fdacbe,http://example.org/ContactPoint/8af4327e-3d16-46a0-a0b2-1e906b928e3d
http://example.org/ContactPoint/b2205194-ab2d-4221-bbf7-ade9620fe455,http://example.org/ContactPoint/ced12f95-f45f-4c17-9b9f-a86dfcc99564
http://example.org/ContactPoint/8e4e7077-71e5-4207-861f-f6a278c49995,http://example.org/ContactPoint/ee5ff29a-1d4d-4cba-a68f-44d1c05597ad
http://example.org/ContactPoint/231097ae-efcc-453c-8a2c-33955a0ab7e0,http://example.org/ContactPoint/b794c840-cd58-4f62-82db-a4a74b54c9f3
http://example.org/ContactPoint/76a933cf-65fd-4f69-93a2-5c9b6e3a52d7,http://example.org/ContactPoint/8d40b1be-f4e2-4c67-bdc9-34f3535b4d73
http://example.org/ContactPoint/db410c2e-3aec-435b-a24e-05ffdd79c474,http://example.org/ContactPoint/1f53e912-cf54-4423-8186-79a35749a6ed
http://example.org/ContactPoint/e73243e6-d087-40dd-a6b6-f42c360ae10c,http://example.org/ContactPoint/429b8c96-732f-4779-8ec9-7ebbd73a3fa1
http://example.org/ContactPoint/aa9bb48d-2134-44aa-bc8f-167a04d6466e,http://example.org/ContactPoint/d86505cc-cc06-48aa-b074-b6423b31dd73
http://example.org/ContactPoint/2b243c58-9743-4bc8-bba4-35db5c0d4feb,http://example.org/ContactPoint/a0ec2628-c8b7-43c3-860f-ea902459dbf9
http://example.org/ContactPoint/e6d2b4cf-165f-41e2-977c-f2ae98d1bbfa,http://example.org/ContactPoint/13d7033a-9db6-4caf-893c-7da10cd27ba4
http://example.org/ContactPoint/2b6a1d95-d729-46ba-a107-0ff02081671b,http://example.org/ContactPoint/6f10a318-1bdd-406e-8411-641152249644
http://example.org/ContactPoint/cbc6b166-d5ad-4c81-86bc-1e2a7e9d98fd,http://example.org/ContactPoint/1d54d1ca-2ae2-4091-931f-6dc206b0fc83
http://example.org/ContactPoint/09b521fc-7d51-4f5e-9855-226a6ec6b631,http://example.org/ContactPoint/e1a8df78-38cb-41f1-bcfe-e5226b479f80
http://example.org/ContactPoint/f33c5682-6053-494b-9db0-3e9a0c248f08,http://example.org/ContactPoint/541a77be-16ab-4536-84f7-09df47d6e89d
http://example.org/ContactPoint/17485c67-b3a9-4280-a27f-0e232afcfb18,http://example.org/ContactPoint/a498aed6-8c16-4e75-b93c-9ef6c2f35c60
http://example.org/ContactPoint/c2d99561-8013-4073-b949-c2a24a6e1526,http://example.org/ContactPoint/0cc11581-be2e-44fa-8d23-74b1aa536ee8
http://example.org/ContactPoint/231e58b0-1acd-4824-83ab-4db80e45aea5,http://example.org/ContactPoint/b745d414-9ed0-4d5c-8486-3ec036ebf8b1
http://example.org/ContactPoint/325ac15c-3391-4a64-9ff3-c8b23064f0fc,http://example.org/ContactPoint/22113fc7-bb04-4385-b1d0-775344a57c99
http://example.org/ContactPoint/14aa451c-a69c-4b85-9432-f8db6a174c1c,http://example.org/ContactPoint/4874d346-6c7e-4112-8f66-45bf9f02aef4
http://example.org/ContactPoint/689f74ea-108e-4777-95b7-1925686cdeaf,http://example.org/ContactPoint/ef246c1f-e42a-421f-a020-0a06c40744cd
http://example.org/ContactPoint/e5d6fb7f-0147-48f2-853b-8ffa4512a1e1,http://example.org/ContactPoint/4da0d92a-cb37-45b0-b933-93716243638e
http://example.org/ContactPoint/08c64569-dc98-4e99-80a1-4ad8e17e7630,http://example.org/ContactPoint/2e32cd68-d7e1-42af-b23b-7033ee60a6bb
