uri1,uri2
http://example.org/ServiceDepartment/b6a49911-5597-48f5-82b4-2bf869e5ab7b,http://example.org/ServiceDepartment/2721bcde-7881-4cf3-9e1d-1c1f4d2c4989
http://example.org/ServiceDepartment/bab2331e-af79-4372-b397-2e0a0d10f74b,http://example.org/ServiceDepartment/575be911-f6c8-4753-8895-2c3b3191249e
http://example.org/ServiceDepartment/6250e9f9-08d1-4e63-a7e8-aeae24a703e3,http://example.org/ServiceDepartment/e85e651a-8577-4b18-9fda-8c3ba107399d
http://example.org/ServiceDepartment/451262d4-cf6f-443a-aef4-633681977db8,http://example.org/ServiceDepartment/da592e6f-a1b4-48ba-9309-809f582dee61
http://example.org/ServiceDepartment/e2809a49-7d65-4308-8903-086fceecf0c4,http://example.org/ServiceDepartment/8f81e95c-2d8f-4619-bbe7-b468763923ff
http://example.org/ServiceDepartment/8ec0fb6d-8aa6-4ea2-8c4f-436b363c8c5f,http://example.org/ServiceDepartment/933eca08-2752-4d98-a212-1cbdcdff3c1e
http://example.org/ServiceDepartment/6fdb2d54-7d0d-4cc6-ba38-dc112f9c79b1,http://example.org/ServiceDepartment/7b38bddd-f81a-4601-a304-a5e7cc8512d1
http://example.org/ServiceDepartment/1f0d3601-2ce4-4400-89bf-1bd23aaadbe6,http://example.org/ServiceDepartment/b941e1ae-18fe-40c9-a004-5e861727d9e2
http://example.org/ServiceDepartment/69005272-0cd7-480d-ae3c-3cfa3cdacb1c,http://example.org/ServiceDepartment/329faa8a-0bcd-4104-960b-d04268ec8cab
http://example.org/ServiceDepartment/bda3235a-e16a-4f5e-b64b-3afeb58dc25f,http://example.org/ServiceDepartment/579a199c-fcd8-4d9e-9f7b-2a944a374250
http://example.org/ServiceDepartment/08e5af8e-f3b0-4ae2-94f7-e1c684ea82e3,http://example.org/ServiceDepartment/9e7c47c2-58fa-4fca-b668-cfe4b10d97a0
http://example.org/ServiceDepartment/b7b3aa30-e3d9-46bf-8a1e-e9386d384bd8,http://example.org/ServiceDepartment/fcf79b46-4784-4e03-a3fb-f9b3f42fe81a
http://example.org/ServiceDepartment/6153cd45-f61c-4ded-a03a-04e25bc2bcc7,http://example.org/ServiceDepartment/4ad26e43-0c53-4e23-855b-e6b1393a8a16
http://example.org/ServiceDepartment/f755b463-5c34-4e94-8040-0fe8c68b1f6e,http://example.org/ServiceDepartment/a6aa891a-3412-471a-8eed-ad67a04e11f7
http://example.org/ServiceDepartment/1a9374b1-16e1-4094-9f33-775310bbcbdb,http://example.org/ServiceDepartment/8afcc473-7999-4de2-bffa-4d528786bea9
http://example.org/ServiceDepartment/567ffb07-cbc9-4874-9bb3-aa4c5147a3fa,http://example.org/ServiceDepartment/98cc3113-6bdb-4ef5-b437-2e3032d5c585
http://example.org/ServiceDepartment/a0d83360-2781-4704-9457-3a6962034dbf,http://example.org/ServiceDepartment/f721cc19-937f-4ef8-9c37-92733af7c65f
http://example.org/ServiceDepartment/3839db4d-a0b0-4ea7-960b-a7be6a2496d8,http://example.org/ServiceDepartment/3a28563a-9a35-4555-92a2-0676a8ef1515
http://example.org/ServiceDepartment/833cf90f-f555-4628-9d15-3fb4968051b7,http://example.org/ServiceDepartment/292b2634-2a86-4f46-96a2-630e18b01fc8
http://example.org/ServiceDepartment/747e0d94-7428-48a9-9225-8b399d2287c4,http://example.org/ServiceDepartment/ec63403d-8554-483c-b8be-2affa50facbe
