uri1,uri2
http://example.org/ContactPoint/23a7711a-8133-4876-b7eb-dcd9e87a1613,http://example.org/ContactPoint/6aec34db-0567-4adc-b163-72c9ae20cac6
http://example.org/ContactPoint/b421eaeb-5340-47ca-baf3-897a3e70f16a,http://example.org/ContactPoint/465c4bf0-dfe7-4cd8-af9e-3b709285108f
http://example.org/ContactPoint/09e469e6-ec62-42c8-a648-ee38e07405eb,http://example.org/ContactPoint/de73f2d2-7ae6-4563-b2dc-883f72c06c5f
http://example.org/ContactPoint/14aa451c-a69c-4b85-9432-f8db6a174c1c,http://example.org/ContactPoint/340ea36d-bf99-4323-b9dd-85781d3677b9
http://example.org/ContactPoint/b9bdee2d-d663-449d-955e-18b1fa83ada4,http://example.org/ContactPoint/195b0842-008c-408b-8106-03d1ef1e951b
http://example.org/ContactPoint/f24dfdd8-5091-4bdc-8ef0-66d44279b14d,http://example.org/ContactPoint/19f76b87-90ee-4eaa-9fa1-aa4168a15a08
http://example.org/ContactPoint/8e751eb7-64d0-4913-991b-8adf0202861c,http://example.org/ContactPoint/99944caf-8600-41c8-a483-73aefbab41e2
http://example.org/ContactPoint/a36bcb01-67e9-4363-905c-053b25fdacbe,http://example.org/ContactPoint/5983f256-40ba-40d1-8937-904bdd03844b
http://example.org/ContactPoint/ce1bb02a-cb4d-48d6-adb6-da351734a26c,http://example.org/ContactPoint/f96719da-5ed0-41f3-80b2-10e37893c5ca
http://example.org/ContactPoint/6d0c62c3-254b-47ae-9d0a-b994f20b575d,http://example.org/ContactPoint/29e1c6f6-db75-47cc-934b-7aa3e22b8ff7
