uri1,uri2
http://example.org/HealthcareOrganization/71545a13-7a1d-4006-8d72-3104f77383c1,http://example.org/HealthcareOrganization/6558d20b-b614-48de-a48a-44a3ae383343
http://example.org/HealthcareOrganization/6288e1a5-cc45-4821-98a6-416d1775336d,http://example.org/HealthcareOrganization/004e0b1f-a990-431d-9252-dc9531866aa1
http://example.org/HealthcareOrganization/5f3f5638-3870-4a14-b490-b6081dfc8352,http://example.org/HealthcareOrganization/5009cae7-b883-4d70-b29d-9e230e1d6da9
http://example.org/HealthcareOrganization/870f084c-7244-4536-a85e-25b4b3969057,http://example.org/HealthcareOrganization/7e4abe74-c3f7-45f6-812b-1e9b4ac50911
http://example.org/HealthcareOrganization/ccc14d51-73f6-40d8-a9f4-1cc04653a560,http://example.org/HealthcareOrganization/2fb59e41-d566-4f4d-969c-5eb1641de08f
http://example.org/HealthcareOrganization/fb5eb866-2640-411e-a9f2-c3c74505f4f6,http://example.org/HealthcareOrganization/4eb74531-0a81-4974-9011-7aed47cc25bb
http://example.org/HealthcareOrganization/f2ad985f-ff3e-4ba1-8ac7-28b4a41865bf,http://example.org/HealthcareOrganization/c02c1a44-c971-48bb-9e36-06d3d2a21afe
http://example.org/HealthcareOrganization/c2472fd6-03e9-4a02-8cea-2df00a66dc4e,http://example.org/HealthcareOrganization/338d84bc-ab71-4398-a760-d93d7d10be55
http://example.org/HealthcareOrganization/f164f9d8-4312-4ce2-9c21-51e17e56ac3d,http://example.org/HealthcareOrganization/15daf390-76c3-4996-ba1d-88a2226ef15e
http://example.org/HealthcareOrganization/586f1721-0785-48d7-b118-2d235bf80676,http://example.org/HealthcareOrganization/c38e6e2e-eb33-4863-b655-69c79159be79
