uri1,uri2
http://example.org/Person/b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a,http://example.org/Person/98186d4c-3951-4884-8943-7e814208f0ab
http://example.org/Person/1fe92146-b4c9-4305-88fe-5048c15b88b2,http://example.org/Person/1ad61153-6ff7-416f-9f63-ffcc3490a3d7
http://example.org/Person/03ee36c3-2b3f-419f-bba9-fbb0d8c6827b,http://example.org/Person/31627261-a21c-4ef5-bd8f-c39a2442107e
http://example.org/Person/9218df37-2e0f-474a-8025-f85dd8faf66c,http://example.org/Person/e863ea08-16a2-4343-9687-3fd8067f0d50
http://example.org/Person/119aa71b-f6bf-47b5-9f46-fe0222087f22,http://example.org/Person/76a0b7c8-57e4-4455-a635-0de9db44293c
http://example.org/Person/b878690b-cde0-4275-9b89-04b3ad44c92c,http://example.org/Person/deb03c13-3ba4-4664-ad5e-53dd8cbd597c
http://example.org/Person/268a694e-bd40-4db2-a091-0f2597af2762,http://example.org/Person/b5d04411-9462-4f9a-84a0-04a7fccb8463
http://example.org/Person/2d4e1ddc-b640-4705-abd2-ab3df5179bf6,http://example.org/Person/72db10f7-c600-45a9-b1e1-1cda8efab180
http://example.org/Person/17965755-16f2-4c25-b3e3-d5b2edd655b2,http://example.org/Person/9b9374e5-233e-4d53-b8ad-37b263ac337c
http://example.org/Person/f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473,http://example.org/Person/54a943a7-827b-4fed-a1ec-fb686f24b704
