uri1,uri2
http://example.org/ServiceDepartment/833cf90f-f555-4628-9d15-3fb4968051b7,http://example.org/ServiceDepartment/2d0c6512-e29c-42ac-b204-6f002682783c
http://example.org/ServiceDepartment/f64e8f4a-ef89-42e7-aa17-06669b6e83a9,http://example.org/ServiceDepartment/b094db1c-b519-4992-a6e2-3c904195e5f2
http://example.org/ServiceDepartment/ca687a98-f48e-49a8-aaeb-5a328fad725d,http://example.org/ServiceDepartment/cb5fd0d0-7a63-4b52-bcaf-53d14cece89b
http://example.org/ServiceDepartment/8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,http://example.org/ServiceDepartment/34658675-38d4-4bfd-a6cb-96c8d5565809
http://example.org/ServiceDepartment/080638c9-4967-49fb-b2e0-2961ac73189c,http://example.org/ServiceDepartment/0dd52706-0400-4ef1-b3f4-1193a480202e
http://example.org/ServiceDepartment/b4ca0142-3b23-4fd8-8d20-f686854df9b6,http://example.org/ServiceDepartment/ca8dc86e-993c-4e80-8aa5-259c212229f7
http://example.org/ServiceDepartment/b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,http://example.org/ServiceDepartment/3fc0c711-0ccb-4f88-aef4-a7b63f1e8af0
http://example.org/ServiceDepartment/65739938-a96e-4bf4-9865-23b8f9154865,http://example.org/ServiceDepartment/0e9f4fd0-9c72-4db5-ad2c-01d13be0e848
http://example.org/ServiceDepartment/4bc01de3-d197-4561-b9b6-8b9523aa9e67,http://example.org/ServiceDepartment/32baf1dd-796f-4b74-bd4b-12e7d1e44220
http://example.org/ServiceDepartment/0044c690-f17a-4c84-8b3d-7ee7fa9f941a,http://example.org/ServiceDepartment/c46e1416-cb02-4bbb-9934-9eab60e2be3d
