uri1,uri2
http://example.org/ContactPoint/23a7711a-8133-4876-b7eb-dcd9e87a1613,http://example.org/ContactPoint/993b706a-8b9f-4486-9a9d-fe60ac896f98
http://example.org/ContactPoint/b421eaeb-5340-47ca-baf3-897a3e70f16a,http://example.org/ContactPoint/bab0722b-4bd4-47e3-b67e-d962f64ce0a5
http://example.org/ContactPoint/09e469e6-ec62-42c8-a648-ee38e07405eb,http://example.org/ContactPoint/ea4031d1-cacd-41bf-b976-acb3276b0b25
http://example.org/ContactPoint/14aa451c-a69c-4b85-9432-f8db6a174c1c,http://example.org/ContactPoint/a87dccfb-a2b4-4729-a285-db1340b15c03
http://example.org/ContactPoint/b9bdee2d-d663-449d-955e-18b1fa83ada4,http://example.org/ContactPoint/dd817395-f4a7-4de7-8f9a-d3839a9a2905
http://example.org/ContactPoint/f24dfdd8-5091-4bdc-8ef0-66d44279b14d,http://example.org/ContactPoint/68ff9fc7-317f-4454-a4e5-053d228ae11a
http://example.org/ContactPoint/8e751eb7-64d0-4913-991b-8adf0202861c,http://example.org/ContactPoint/f80eb2da-ae4b-468d-9aa8-59f4710301ab
http://example.org/ContactPoint/a36bcb01-67e9-4363-905c-053b25fdacbe,http://example.org/ContactPoint/d0900e1a-6499-4e88-9d13-63a83e3f24c8
http://example.org/ContactPoint/ce1bb02a-cb4d-48d6-adb6-da351734a26c,http://example.org/ContactPoint/e5a197ab-27e6-4c12-aeb4-bee6cf1d86e6
http://example.org/ContactPoint/6d0c62c3-254b-47ae-9d0a-b994f20b575d,http://example.org/ContactPoint/2996b437-38bc-4ea4-8ad6-5df7def002e6
