uri1,uri2
http://example.org/Person/b84d119e-02e2-4aa7-9edf-4ce81c4dbb4a,http://example.org/Person/1fb92089-4882-4774-8f12-6628d4238d40
http://example.org/Person/1fe92146-b4c9-4305-88fe-5048c15b88b2,http://example.org/Person/0f9f9f92-6ed8-4376-8f6a-152b01c24459
http://example.org/Person/03ee36c3-2b3f-419f-bba9-fbb0d8c6827b,http://example.org/Person/4205d9b2-7194-4d80-9481-0a2fc1ca6d27
http://example.org/Person/9218df37-2e0f-474a-8025-f85dd8faf66c,http://example.org/Person/e1b0ec86-a284-45d4-b685-956023fb8279
http://example.org/Person/119aa71b-f6bf-47b5-9f46-fe0222087f22,http://example.org/Person/cbb0bed7-9d1f-493b-bc8f-193938ac45e7
http://example.org/Person/b878690b-cde0-4275-9b89-04b3ad44c92c,http://example.org/Person/6c282cff-1471-4d90-902e-4ba2ec0258b0
http://example.org/Person/268a694e-bd40-4db2-a091-0f2597af2762,http://example.org/Person/4ec2aff2-ad6c-436d-9304-c28f862aa9f6
http://example.org/Person/2d4e1ddc-b640-4705-abd2-ab3df5179bf6,http://example.org/Person/42229532-d5b3-4406-88ae-767a0bfda39c
http://example.org/Person/17965755-16f2-4c25-b3e3-d5b2edd655b2,http://example.org/Person/85465fbc-8c5f-43ae-80ea-0a55f9363a88
http://example.org/Person/f0f9ba5c-f1fb-4e30-8106-c3fdd1ebc473,http://example.org/Person/bd649b4a-a1f2-4381-b275-a5e619cfc11c
