uri1,uri2
http://example.org/ServiceDepartment/1f217475-66f0-4769-8909-c1ba18fa5472,http://example.org/ServiceDepartment/f222787e-1998-4552-833d-29fb9a1eb0b7
http://example.org/ServiceDepartment/c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,http://example.org/ServiceDepartment/1fe81e89-5836-4a56-a9b6-a24c624e7a4d
http://example.org/ServiceDepartment/aef82d2e-51f8-4e44-924b-ba5b82042c0b,http://example.org/ServiceDepartment/165c85cf-3a37-4443-afeb-2a0921f6ce5c
http://example.org/ServiceDepartment/09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,http://example.org/ServiceDepartment/b4d8a28b-c07f-49b1-bae9-4c25937a3031
http://example.org/ServiceDepartment/93c3150d-77c3-404f-9f7a-46b8450000a1,http://example.org/ServiceDepartment/b006955b-264e-4c3c-8c79-d96c0696ca1a
http://example.org/ServiceDepartment/3ca58162-4509-47a7-a2bc-5350a627e31d,http://example.org/ServiceDepartment/df038a46-f28f-403d-83bc-de0f7f9c190b
http://example.org/ServiceDepartment/56c16359-352f-4341-83fa-a677b1a8e5c6,http://example.org/ServiceDepartment/9ed6a88d-067f-4ce6-abc4-ee13890b904d
http://example.org/ServiceDepartment/6bfed001-18bc-4a21-b887-d3e9a3171056,http://example.org/ServiceDepartment/09ee4af4-8fc9-4227-9dbe-871c60600452
http://example.org/ServiceDepartment/c736e166-8042-402f-9d73-22518b763f63,http://example.org/ServiceDepartment/745eac69-e8c0-42c4-880c-a5a04585de93
http://example.org/ServiceDepartment/02246f10-ce65-4211-a3c9-c8d76ceb1865,http://example.org/ServiceDepartment/7a4538c1-121a-44f8-982c-f2a93f2c3402
http://example.org/ServiceDepartment/778d028c-e45e-45b9-a9f8-2b8b7dd5d97e,http://example.org/ServiceDepartment/820ebb35-408d-4623-93b8-406e13a05482
http://example.org/ServiceDepartment/6689ef79-f8c3-4461-bc15-b016487eb3df,http://example.org/ServiceDepartment/3f75e6e3-3e94-4258-8057-c3235a5f7cc4
http://example.org/ServiceDepartment/3a94f14b-0830-4ee6-9a9c-1d73f173d2fe,http://example.org/ServiceDepartment/da6fb791-3e30-46dd-be67-e891871dd315
http://example.org/ServiceDepartment/ab46afee-8898-4682-a096-8f2106e090ea,http://example.org/ServiceDepartment/fa1f55d3-4d06-47d1-bf11-b850303c9ed7
http://example.org/ServiceDepartment/edabf3d2-53e4-4dd3-ae51-bca044c0a5ed,http://example.org/ServiceDepartment/5a4dbeb2-85d0-410f-95be-94999f9e25da
http://example.org/ServiceDepartment/955e988d-f24b-4d76-a07f-949ef11e71ae,http://example.org/ServiceDepartment/797241d2-242a-4546-8804-137e1d77a06f
http://example.org/ServiceDepartment/9b3e6605-5083-4669-836c-d6021a54acb2,http://example.org/ServiceDepartment/c852a343-c3f0-470b-8440-b9186279e124
http://example.org/ServiceDepartment/57e061c6-0494-405d-b194-a9f14114fa10,http://example.org/ServiceDepartment/3d9140fe-4ee2-46f6-b4b5-6dc725eb3abf
http://example.org/ServiceDepartment/15362c1f-90b3-49d9-bf0a-837a3e0f7488,http://example.org/ServiceDepartment/66bab3d6-2d55-4c53-8b2e-52864186451c
http://example.org/ServiceDepartment/5041b3d0-8950-4262-a797-765abc854e3f,http://example.org/ServiceDepartment/cc68095c-bd20-433d-b2f6-a5ae6799a929
http://example.org/ServiceDepartment/754151b0-0cdf-420e-81e7-5ade858e8dfb,http://example.org/ServiceDepartment/3ed16055-fa4e-4106-96da-959ec0b5d1f6
http://example.org/ServiceDepartment/3b4590c6-7380-427c-af25-a8cdde699e1e,http://example.org/ServiceDepartment/83432965-2ff2-43b0-924c-f7351989602b
http://example.org/ServiceDepartment/4a082de7-4f6d-4f01-b0dc-2737db807618,http://example.org/ServiceDepartment/8841b6b7-344c-4fbe-a454-d3e465b48599
http://example.org/ServiceDepartment/0d0fbbe9-6b7d-4713-8ba1-527dad7114db,http://example.org/ServiceDepartment/12276227-91a9-492c-96d4-983bebe1f1f8
http://example.org/ServiceDepartment/9641af55-358d-4639-90bf-babda5d649dc,http://example.org/ServiceDepartment/dc05e418-07bb-4b06-bcbe-86a0be513697
http://example.org/ServiceDepartment/f0c53802-4474-4ac6-9df7-327635ba9da1,http://example.org/ServiceDepartment/d80937ce-f593-46ac-88ea-31c825f37e95
http://example.org/ServiceDepartment/19b5024c-eee2-4362-8ccb-cb6e42e14ce9,http://example.org/ServiceDepartment/f22725c3-a294-41ee-ba40-eca7c12ba839
http://example.org/ServiceDepartment/d1da4bba-1ed9-4ae6-a5f4-4940f5114a9a,http://example.org/ServiceDepartment/00643838-dcd8-4b11-bffc-a0735641570f
