uri1,uri2
http://example.org/HealthcareOrganization/06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,http://example.org/HealthcareOrganization/f64a8b78-1f55-4c02-9e6f-d705126d1aa5
http://example.org/HealthcareOrganization/4a863655-0a9d-499c-a269-8c2d614f1ddc,http://example.org/HealthcareOrganization/26ead460-8ecb-4367-8f96-791012808555
http://example.org/HealthcareOrganization/037d9752-48f3-431c-8fb7-c3bb4408c04c,http://example.org/HealthcareOrganization/3d26bdb9-6bd6-4e65-9df7-1eedb7db1b57
http://example.org/HealthcareOrganization/5d393bf9-b2da-41f6-8c16-014a2e4a6e78,http://example.org/HealthcareOrganization/cce86371-fa45-405b-9166-7c8e61d0d81b
http://example.org/HealthcareOrganization/c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,http://example.org/HealthcareOrganization/068ce982-b671-404f-bf07-f4c1250f1c73
http://example.org/HealthcareOrganization/3e332f35-086c-4768-b0fe-3cfc991ab513,http://example.org/HealthcareOrganization/edf67867-4882-4453-aa07-29374592d3e6
http://example.org/HealthcareOrganization/92d6ff73-5b3a-4595-8458-92c14e0e15d3,http://example.org/HealthcareOrganization/06feb8e4-aff6-423c-9aed-5a5530ab4548
http://example.org/HealthcareOrganization/9db3466d-1ba6-4c61-aaf9-4919e69b7971,http://example.org/HealthcareOrganization/2c356219-d704-46c5-881b-27a6689579f6
http://example.org/HealthcareOrganization/30d6863f-11c2-42d8-8126-77895c6be596,http://example.org/HealthcareOrganization/1828dcdb-c82a-4e1e-8bd8-9bced5360dfe
http://example.org/HealthcareOrganization/71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,http://example.org/HealthcareOrganization/23fd3224-c9a4-4a42-9206-17669d52ec90
http://example.org/HealthcareOrganization/52ebdac5-a145-4899-a1f8-c1569e0df45b,http://example.org/HealthcareOrganization/b72b46e2-7ef9-4b8f-8d72-eda537859b79
http://example.org/HealthcareOrganization/8b5885ca-0bb2-43f0-bd30-291a55fea08e,http://example.org/HealthcareOrganization/cdf12b37-2ecb-4ec7-96d3-bbf69c2357df
http://example.org/HealthcareOrganization/c7405255-25cf-41c4-9c89-929692b035e0,http://example.org/HealthcareOrganization/9244970a-0d27-4a0a-8e63-d7e21825f60a
http://example.org/HealthcareOrganization/27d99a23-e4f7-425e-afe6-790abc18a40b,http://example.org/HealthcareOrganization/41a1c3d4-30d5-4a42-a340-c710268c0eac
http://example.org/HealthcareOrganization/a59cec98-126c-4c8f-b888-447911ebcd49,http://example.org/HealthcareOrganization/0160a8b4-1b21-48ec-8dc6-cb0ba6c3f179
