label,left_name,right_name
,Santana-Shaw Zorg,"Coaok, Wright and Taylor Gesundheitszentrum"
,"Green, Jones and Shelton Tervisekeskus","Daniel, Turner and Blcck Tervisekeskus"
,Baker and Sons Gesundheitszentrum,OGM Gesundheitszentrum
,Price-Robinson Zorg,"Coaok, Wright and Taylor Gesundheitszentrum"
,"Chan, Hale and Fisher Zorg",Faulknr-Howard Zorg
,Austin and Sons Tervisekeskus,Neewton Ltd Gesundheitszentrum
,"Green, Jones and Shelton Tervisekeskus",Austin and Sosn Tervisekeskus
,Garcia PLC Gesundheitszentrum,GPLC Gesundheitszentrum
,Austin and Sons Tervisekeskus,MI Tervisekeskus
,"Green, Jones and Shelton Tervisekeskus",BI Tervisekeskus
,Santana-Shaw Zorg,LBM Zorg
,"Nash, Anderson and Collins Zorg",SS Zorg
,"Riggs, Martinez and Stephenson Zorg",WW Zorg
,Smith Ltd Gesundheitszentrum,"Coaok, Wright and Taylor Gesundheitszentrum"
,Williams-Williams Zorg,Long-Maritnez Tervisekeskus
,Brady Inc Tervisekeskus,Neewton Ltd Gesundheitszentrum
,Williams-Williams Zorg,WW Zorg
,"Daniel, Turner and Black Tervisekeskus","Nash, Anderion and Collins Zorg"
,Smith Ltd Gesundheitszentrum,"Guerrro, Kim and Sutton Gesundheitszentrum"
,Santana-Shaw Zorg,BS Gesundheitszentrum
,Price-Robinson Zorg,"Nash, Anderion and Collins Zorg"
,"Nash, Anderson and Collins Zorg",AVJ Tervisekeskus
,"Green, Jones and Shelton Tervisekeskus",GPLC Gesundheitszentrum
,Smith Ltd Gesundheitszentrum,OGM Gesundheitszentrum
,Smith Ltd Gesundheitszentrum,"Nash, Anderion and Collins Zorg"
,Brady Inc Tervisekeskus,Lee-latton Gesundheitszentrum
,"Obrien, Gaines and Miller Gesundheitszentrum",Vasencia-Thomas Zorg
,Fisher PLC Tervisekeskus,Vasencia-Thomas Zorg
,Williams-Williams Zorg,FPLC Tervisekeskus
,Faulkner-Howard Zorg,Neewton Ltd Gesundheitszentrum
,Austin and Sons Tervisekeskus,SS Zorg
,Baker and Sons Gesundheitszentrum,"Daniel, Turner and Blcck Tervisekeskus"
,Newton Ltd Gesundheitszentrum,Lee-latton Gesundheitszentrum
,Williams-Williams Zorg,BS Gesundheitszentrum
,Newton Ltd Gesundheitszentrum,OGM Gesundheitszentrum
,"Nash, Anderson and Collins Zorg",FPLC Tervisekeskus
,Lee-Patton Gesundheitszentrum,CHF Zorg
,Austin and Sons Tervisekeskus,"Bishop, Guerrero and Rodriruez Tervisekeskus"
,Austin and Sons Tervisekeskus,AVJ Tervisekeskus
,Johnson PLC Gesundheitszentrum,Lee-latton Gesundheitszentrum
,"Green, Jones and Shelton Tervisekeskus",Vasencia-Thomas Zorg
,Smith Ltd Gesundheitszentrum,RMS Zorg
,Austin and Sons Tervisekeskus,Vasencia-Thomas Zorg
,Baker and Sons Gesundheitszentrum,CHF Zorg
,Smith Ltd Gesundheitszentrum,Smiht Ltd Gesundheitszentrum
,"Chan, Hale and Fisher Zorg",RMS Zorg
,Newton Ltd Gesundheitszentrum,Neewton Ltd Gesundheitszentrum
,Lee-Patton Gesundheitszentrum,Vasencia-Thomas Zorg
,Newton Ltd Gesundheitszentrum,MI Tervisekeskus
,"Nash, Anderson and Collins Zorg","Nash, Anderion and Collins Zorg"
,Valencia-Thomas Zorg,FPLC Tervisekeskus
,Fisher PLC Tervisekeskus,RMS Zorg
,Newton Ltd Gesundheitszentrum,Smiht Ltd Gesundheitszentrum
,"Nash, Anderson and Collins Zorg",OGM Gesundheitszentrum
,"Lam, Bishop and Mccormick Zorg",SS Zorg
,Fisher PLC Tervisekeskus,Smigh Ltd Gesundheitszentrum
,"Nash, Anderson and Collins Zorg",JPLC Gesundheitszentrum
,Williams-Williams Zorg,BI Tervisekeskus
,"Lam, Bishop and Mccormick Zorg",CHF Zorg
,"Obrien, Gaines and Miller Gesundheitszentrum",FPLC Tervisekeskus
,Austin and Sons Tervisekeskus,"Coaok, Wright and Taylor Gesundheitszentrum"
,"Lam, Bishop and Mccormick Zorg","Bishop, Guerrero and Rodriruez Tervisekeskus"
,"Daniel, Turner and Black Tervisekeskus",Vasencia-Thomas Zorg
,"Chan, Hale and Fisher Zorg",SS Zorg
,Johnson PLC Gesundheitszentrum,AVJ Tervisekeskus
,Valencia-Thomas Zorg,Smigh Ltd Gesundheitszentrum
,"Lam, Bishop and Mccormick Zorg",Vasencia-Thomas Zorg
,Garcia PLC Gesundheitszentrum,JPLC Gesundheitszentrum
,"Daniel, Turner and Black Tervisekeskus",WW Zorg
,Valencia-Thomas Zorg,OGM Gesundheitszentrum
,"Lam, Bishop and Mccormick Zorg",WW Zorg
,Brady Inc Tervisekeskus,Vasencia-Thomas Zorg
,Smith Ltd Gesundheitszentrum,Long-Maritnez Tervisekeskus
,Johnson PLC Gesundheitszentrum,Long-Maritnez Tervisekeskus
,Newton Ltd Gesundheitszentrum,Austin and Sosn Tervisekeskus
,Santana-Shaw Zorg,WW Zorg
,Mathis Inc Tervisekeskus,LBM Zorg
,Long-Martinez Tervisekeskus,RMS Zorg
,Brady Inc Tervisekeskus,WW Zorg
,"Chan, Hale and Fisher Zorg",Vasencia-Thomas Zorg
,Valencia-Thomas Zorg,"Daniel, Turner and Blcck Tervisekeskus"
,Mathis Inc Tervisekeskus,"Nash, Anderion and Collins Zorg"
,Long-Martinez Tervisekeskus,JPLC Gesundheitszentrum
,"Bishop, Guerrero and Rodriguez Tervisekeskus",OGM Gesundheitszentrum
