label,left_name,right_name
,Toxicologic,Hema
,Gastroenterologic,Onc
,Laboratory Science,Community Care Services
,Public Health,Family Medicine
,Plastic Surgery,Skin Care Center
,Gynecologic,Elderly Care Services
,Midwifery,Elderly Care Services
,Laboratory Science,Dental Services
,Dermatology,Anesth Dept
,Neurologic,Lab
,Otolaryngologic,Endo
,Laboratory Science,Elderly Care Services
,Obstetric,MSK
,Speech Pathology,Speech Path
,Public Health,Poison Control Center
,Plastic Surgery,Digestive Health Center
,Anesthesia,Medical Imaging
,Gynecologic,Plastics
,Gastroenterologic,Midwifery & Birth Center
,Dentistry,ENT
,Infectious,Surgical Services
,Public Health,Dental
,Gastroenterologic,Tox
,Geriatric,PCP
,Plastic Surgery,Foot & Ankle Center
,Physiotherapy,Hormone & Metabolism Center
,Gastroenterologic,Dental Services
,Geriatric,Pulm
,Respiratory Therapy,Anesthesiology Department
,Genetic,Geri
,Toxicologic,Endo
,Midwifery,Kidney Care Center
,Geriatric,Midwifery & Birth Center
,Dentistry,Diet & Nutr
,Community Health,Clinical Laboratory
,Pulmonary,"Ear, Nose & Throat"
,Geriatric,"Ear, Nose & Throat"
,Primary Care,Digestive Health Center
,Infectious,Onc
,Pathology,Opt
,Physiotherapy,Digestive Health Center
,Otolaryngologic,Anesth Dept
,Obstetric,Infection Control & Prevention
,Diet Nutrition,Foot Care
,Psychiatric,ENT
,Laboratory Science,Clinical Laboratory
,Toxicologic,Brain & Spine Center
,Infectious,Uro
,Public Health,"Ear, Nose & Throat"
,Community Health,Dental
,Musculoskeletal,Plastics
,Plastic Surgery,Pulm
,Dentistry,Dental Services
,Rheumatologic,Medical Imaging
,Dentistry,PCP
,Primary Care,MSK
,Rheumatologic,Medical Genetics Department
,Pulmonary,Family Medicine
,Emergency,Respiratory Care Services
,Public Health,Respiratory Care Services
,Neurologic,MSK
,Pediatric,Arthritis & Rheumatism Center
,Pathology,Hormone & Metabolism Center
,Midwifery,Anesth Dept
,Obstetric,Community Care Services
,Surgical,Derm
,Respiratory Therapy,Hormone & Metabolism Center
,Dentistry,Dental
,Urologic,Lung & Breathing Center
,Emergency,Vision Care Center
,Musculoskeletal,Dental Services
,Toxicologic,Speech Path
,Public Health,Uro
,Toxicologic,Uro
,Infectious,GI
,Obstetric,Poison Control Center
,Optometric,Psych
,Neurologic,Heart Center
,Dermatology,Digestive Health Center
,Rheumatologic,Endo
,Nursing,Surg
,Plastic Surgery,Anesth Dept
,Physiotherapy,Dental Services
,Otolaryngologic,Endo
,Surgical,Speech Path
,Gynecologic,Opt
,Pathology,Kidney Care Center
,Cardiovascular,GYN
,Musculoskeletal,Opt
,Toxicologic,Diet & Nutr
,Musculoskeletal,OB
,Physiotherapy,GYN
,Surgical,Dental Services
,Toxicologic,Tox
,Public Health,Nutritional Services
,Anesthesia,"Ear, Nose & Throat"
,Pulmonary,Skin Care Center
,Anesthesia,Rad
,Public Health,Midwifery & Birth Center
,Gastroenterologic,Comm Health
,Midwifery,PCP
,Endocrine,Arthritis & Rheumatism Center
,Pulmonary,Uro
,Speech Pathology,Urology & Kidney Health
,Gastroenterologic,GI
,Anesthesia,Resp
,Musculoskeletal,Rad
,Surgical,Midwifery & Birth Center
,Oncologic,Dental
,Primary Care,Dental
,Gastroenterologic,Community Care Services
,Podiatric,Hormone & Metabolism Center
,Endocrine,Plastics
,Oncologic,Mental Health Services
,Geriatric,Anesthesiology Department
,Community Health,Path
,Obstetric,Brain & Spine Center
,Pulmonary,Surg
,Endocrine,MSK
,Nursing,"Ear, Nose & Throat"
,Dermatology,GYN
,Pathology,Dental Services
,Otolaryngologic,Plastics
,Laboratory Science,Blood Disorders Clinic
,Psychiatric,Emergency Services
,Genetic,Endo
,Hematologic,Endo
,Surgical,Dental
,Podiatric,PT
,Primary Care,Uro
,Respiratory Therapy,GI
,Pulmonary,Midwife Svc
,Primary Care,Psych
,Primary Care,GYN
,Infectious,Surg
,Dermatology,Arthritis & Rheumatism Center
,Gastroenterologic,Foot & Ankle Center
,Gynecologic,ENT
,Gastroenterologic,Digestive Health Center
,Emergency,Skin Care Center
,Gastroenterologic,GYN
,Surgical,Resp
,Optometric,Community Care Services
,Respiratory Therapy,Nurs
,Plastic Surgery,Maternity Care
,Dermatology,Resp
,Midwifery,Comm Health
,Cardiovascular,MSK
,Pediatric,Rad
,Anesthesia,Lab
,Physiotherapy,ID
,Community Health,Rheum
,Otolaryngologic,PT
,Anesthesia,Diagnostic Pathology
,Surgical,Family Medicine
,Respiratory Therapy,Derm
,Optometric,PCP
,Primary Care,Pulm
,Podiatric,Resp
,Radiography,ID
,Gastroenterologic,Tox
,Gynecologic,Brain & Spine Center
,Dermatology,Geri
,Plastic Surgery,Surg
,Neurologic,OB
,Surgical,Nurs
,Obstetric,Tox
,Geriatric,Maternity Care
,Emergency,GYN
,Pathology,GYN
,Surgical,Plastics
,Pathology,GYN
,Anesthesia,Comm Health
,Infectious,Midwifery & Birth Center
,Diet Nutrition,Emergency Services
,Obstetric,Speech Path
,Endocrine,MSK
,Speech Pathology,Endo
,Pathology,Anesth Dept
,Gastroenterologic,Rheum
,Toxicologic,PT
,Community Health,Foot & Ankle Center
,Optometric,Diet & Nutr
,Obstetric,Midwife Svc
,Podiatric,Emergency Services
,Endocrine,GI
