label,left_name,right_name
,"Cook, Wright and Taylor Gesundheitszentrum","Coaok, Wright and Taylor Gesundheitszentrum"
,Smith Ltd Gesundheitszentrum,Smigh Ltd Gesundheitszentrum
,Valencia-Thomas Zorg,Vasencia-Thomas Zorg
,"Nash, Anderson and Collins Zorg","Nash, Anderion and Collins Zorg"
,Price-Robinson Zorg,Prmce-Robinson Zorg
,Austin and Sons Tervisekeskus,Austin and Sosn Tervisekeskus
,"Guerrero, Kim and Sutton Gesundheitszentrum","Guerrro, Kim and Sutton Gesundheitszentrum"
,Newton Ltd Gesundheitszentrum,Neewton Ltd Gesundheitszentrum
,"Daniel, Turner and Black Tervisekeskus","Daniel, Turner and Blcck Tervisekeskus"
,"Bishop, Guerrero and Rodriguez Tervisekeskus","Bishop, Guerrero and Rodriruez Tervisekeskus"
,Williams-Williams Zorg,WW Zorg
,Baker and Sons Gesundheitszentrum,BS Gesundheitszentrum
,Fisher PLC Tervisekeskus,FPLC Tervisekeskus
,Brady Inc Tervisekeskus,BI Tervisekeskus
,Mathis Inc Tervisekeskus,MI Tervisekeskus
,"Lam, Bishop and Mccormick Zorg",LBM Zorg
,Santana-Shaw Zorg,SS Zorg
,Garcia PLC Gesundheitszentrum,GPLC Gesundheitszentrum
,"Riggs, Martinez and Stephenson Zorg",RMS Zorg
,Johnson PLC Gesundheitszentrum,JPLC Gesundheitszentrum
