label,left_name,right_name
,Surgical,Surg
,Toxicologic,Tox
,Pulmonary,Pulm
,Geriatric,Geri
,Diet Nutrition,Diet & Nutr
,Otolaryngologic,ENT
,Respiratory Therapy,Resp
,Genetic,Gen Med
,Infectious,ID
,Toxicologic,Tox
,Endocrine,Hormone & Metabolism Center
,Neurologic,Brain & Spine Center
,Neurologic,Brain & Spine Center
,Gastroenterologic,Digestive Health Center
,Infectious,Infection Control & Prevention
,Otolaryngologic,"Ear, Nose & Throat"
,Plastic Surgery,Reconstructive & Cosmetic Surgery
,Dentistry,Dental Services
,Midwifery,Midwifery & Birth Center
,Hematologic,Blood Disorders Clinic
